求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
01010-39264601,システムエンジニア・プログラマー（東京都千代田区）,・チームで実作業を行って頂きます。（作業範囲、内容はプロジェクトにより異なります。）・設計支援・開発支援・試験支援・運用保守支援,"200,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　ウェールズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0101039264601&kJKbn=1&jGSHNo=5hU%2BD8LJXFap2ToInkp17Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-07462202,システムエンジニア・プログラマー,業務アプリケーションシステムの開発。（開発例）大手物流会社　倉庫管理システム（ＶＢ．Ｎｅｔ）,"219,000円〜365,000円","										（1）09時00分〜18時00分
",株式会社　　パーフェクトマニージ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301007462202&kJKbn=1&jGSHNo=a6CvGKlg4j1sDzoFkpcblw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08050502,ＩＴ開発技術者,ＣＯＢＯＬ系、ＪＡＶＡ系、ＮＥＴ系、Ｃ＃系、Ｃ／Ｃ＋＋系などいずれかを開発する仕事です。,"230,500円〜518,600円","										（1）08時30分〜17時30分
",日希　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008050502&kJKbn=1&jGSHNo=lpf3eZIvDeAGYJlV8HpcmA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08208402,ネットワーク設計・システム開発エンジニア,　ネットワーク設計、システム開発エンジニア　ＰＨＰ，ＪＡＶＡ　その他,"350,000円〜480,000円","										（1）09時00分〜18時00分
",アイレックス　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008208402&kJKbn=1&jGSHNo=Y%2BldPWo5wfrTbLXayc%2FfMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-08214902,ネットワークエンジニア（未経験者）,＊ネットワークシステム運用・保守・監視アシスタント＊セットアップ・ソフトウェアインストールアシスタント＊キッティング・ヘルプデスク,"220,000円〜270,000円","										（1）09時00分〜18時00分
",アイレックス　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301008214902&kJKbn=1&jGSHNo=Y%2BldPWo5wfrTbLXayc%2FfMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-33911901,システムエンジニア（業務・ＷＥＢ系）,◆オープン・ＷＥＢ系の各種システム開発をお願いします。　・業種（製造、流通、サービス、生保、金融、医療、　　公共、その他）・言語（．ＮＥＴ、Ｃ＃、Ｊａｖａ、,"250,000円〜350,000円","										（1）09時00分〜18時00分
",インテグレート　トータルシステム　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706033911901&kJKbn=1&jGSHNo=RhGCQdpsHa5olcFSPIPr9w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-33920101,プログラマ,◆各種プログラムの作成をお願いします。　・言語（．ＮＥＴ、Ｃ＃、Ｊａｖａ、Ｃ＋＋、Ｃ、　　　　　ＶＢ、ＰＨＰ、ＣＯＢＯＬ等）,"200,000円〜300,000円","										（1）09時00分〜18時00分
",インテグレート　トータルシステム　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706033920101&kJKbn=1&jGSHNo=RhGCQdpsHa5olcFSPIPr9w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-34010901,Ｃ♯．Ｎｅｔシステムエンジニア（東京）,【内容】システムの開発業務　　　　【言語】Ｃ♯．Ｎｅｔ,"250,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業　株式会社　関西支社（大阪）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706034010901&kJKbn=1&jGSHNo=WE7gpKnkNli0bEdo9Yzkpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06839802,Ｎｏｄｅ．ｊｓエンジニア,Ｎｏｄｅ．ｊｓでの開発のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も安心です※寮あり,"270,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006839802&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06841002,ＥＣサイトサーバーサイドの開発（ＴｙｐｅＳｃｒｉｐｔ）,ＥＣサイトサーバーサイドの開発（ＴｙｐｅＳｃｒｉｐｔ）・３年以上のブランク、転職回数の多い方応募可,"270,000円〜550,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006841002&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06843902,ＳＡＰエンジニア,ＳＡＰソリューションを活用したシステム構築、運用支援や顧客ニーズに基づく要件定義、システムの設計・開発をお願い致します。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006843902&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06926102,ＰＧ、ＳＥ,＊プログラム　開発・保守,"200,000円〜800,000円","										（1）09時00分〜18時00分
",金山国際株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006926102&kJKbn=1&jGSHNo=jw8kbuhuakxKct50Qz%2BKGg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06548402,システムエンジニア（リーダー候補）,システム開発業務に、プロジェクトの中心となって携わって頂きます。社内受託開発で上流工程を担当して頂けるリーダー候補を募集します。,"330,000円〜465,000円","										（1）09時00分〜18時00分
",ナビオコンピュータ株式会社　東京本社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006548402&kJKbn=1&jGSHNo=u9mUYlOZMO04GY4cVt8IoA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06660702,クライアント系ＰＪ推進業務,・ＰＪ管理（進捗管理、障害管理、ベンダコントロールなど）・案件によっては、情シス部門として展開前の事前検証・ユーザ検証サポート,"500,000円〜900,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006660702&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06810102,ソフトウェア開発（ＳＥ・ＰＧ）,ソフトウェアの設計、開発運用・Ｊａｖａ、ＰＨＰ等使用,"180,000円〜446,000円",フレックスタイム制,株式会社　ホットラスト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006810102&kJKbn=1&jGSHNo=gKykPd3%2BnFxvCE4xeO%2FE4A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06836102,プログラマ（Ｗｅｂ・オープン系システム開発等）,・社内サーバー管理・Ｗｅｂ系システムの開発・メンテナンス・自社ＨＰの作成・メンテナンス,"191,000円〜340,000円","										（1）09時00分〜18時00分
",株式会社　レイテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006836102&kJKbn=1&jGSHNo=6D%2BpLMYMPT8meuEPl0a2UQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-33741301,【急募】エンジニア（サーバ・ストレージ）（東京）,【内容】ストレージ・サーバ設計構築業務　　　　（移行サービスを中心とした提案、設計、構築業務）,"250,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業　株式会社　関西支社（大阪）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706033741301&kJKbn=1&jGSHNo=WE7gpKnkNli0bEdo9Yzkpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06228802,業務システム導入支援（ＳＥ・ＰＧ）,業務システム設計、開発、保守,"231,000円〜350,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006228802&kJKbn=1&jGSHNo=jaA3qAHZYkPQGMBVF7lUiw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06268702,社内ＳＥ・社内システム管理者,学生管理システムの操作や外部ベンダーコントロール等を行っていただきます。また社内のＰＣ環境の整備・教育を担当していただきます。,"200,000円〜280,000円",変形労働時間制,株式会社　ディスパ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006268702&kJKbn=1&jGSHNo=ChFI6HlfLYPEpI57YQBUow%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06274102,ＣＯＢＯＬプログラマー、ＳＥ／正社員／損保、日立汎用機,日立汎用機を使用した、ＣＯＢＯＬ言語による業務アプリケーションの設計及び開発をして頂きます。開発案件は、損保の自動車保険システム、フリート契約システムです。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社ＣＯＢＯＬ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006274102&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05797402,病院情報システムの運用管理,・病院内でのシステム関連の問い合わせ・コンテンツ作成（問診票などの各種帳票等）・定期的なデータ集計など,"201,130円〜300,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005797402&kJKbn=1&jGSHNo=wUnXkXAbsgPpSkoKQ3agBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05828402,アプリ開発（Ｓｗｉｆｔ）,アプリ開発のお仕事です。・３年以上のブランク、転職回数の多い方も歓迎です・他県からのご応募の方も安心です※寮あり,"320,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005828402&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05831602,サーバーエンジニア,サーバエンジニア豊富なインフラ案件の中からご希望の業務を選んで頂けます。例えば現在ご案内できるプロジェクトにはこんなものがあります。,"270,000円〜550,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005831602&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05833302,ｉＯＳ開発,ｉＯＳでのシステムやアプリ開発の業務になります。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"320,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005833302&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05972102,Ｍａｃオペレーター（ＤＴＰ）,ＤＴＰデーターの作成印刷に係るデーター処理印刷関係のデザイン,"165,000円〜200,000円","										（1）09時00分〜18時00分
",富士リプロ　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005972102&kJKbn=1&jGSHNo=2NCIz3kFFpjBOYPxajfGDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06003002,医療保険データ分析システム（ＡＷＳ）の設計・構築,ＡＷＳのＩａａＳ・ＰａａＳ方式設計と構築を行って頂きます。,"400,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　エーティーティーソリューションズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006003002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06006102,インフラエンジニア（ＰＭ）,内容：大規模のサーバー構築／管理工程：要件定義、外部設計などの上流工程,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006006102&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06007402,社内技術部管理（ＰＭ）,技術業務管理を担当して頂きます。・社内外システム対応業務・エンジニア教育、指導業務,"250,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006007402&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
40010-64687001,システムエンジニア・プログラマー（正）／東京都,※製造業向け　ＰＬＭシステム（製品ライフサイクル管理）※流通業向け　販売管理システム※製造業向け　生産管理支援システム,"250,000円〜400,000円","										（1）08時30分〜17時30分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4001064687001&kJKbn=1&jGSHNo=RQJaV9nOD10QWMQDIWUAIA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05440102,システムエンジニア・プログラマ【ＰＬ候補】,【大規模システム開発における設計・開発・テスト】金融、通信、物流、製造など様々な業界の業務系システムの開発を８～３０名のチームで行います。,"268,000円〜455,000円","										（1）09時30分〜18時15分
",株式会社　ジェイ・クリエイション,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005440102&kJKbn=1&jGSHNo=Is%2FvjOR9TvndLl9Wtj0%2FEg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05443802,システムエンジニア・プログラマ,【大規模システム開発における設計・開発・テスト】金融、通信、物流、製造など様々な業界の業務系システムの開発を８～３０名のチームで行います。,"218,000円〜251,000円","										（1）09時30分〜18時15分
",株式会社　ジェイ・クリエイション,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005443802&kJKbn=1&jGSHNo=Is%2FvjOR9TvndLl9Wtj0%2FEg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05598402,システムエンジニア,クラウドネイティブエンジニア顧客へのクラウドネイティブ開発・商用基盤の構築支援を行っていただきます。,"200,000円〜700,000円","										（1）09時00分〜18時00分
",サービスミーム株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005598402&kJKbn=1&jGSHNo=gu371yxtiH7%2FRFTJHQD%2Bjg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05648002,防災情報を伝達するシステムのバージョンアップ開発ＰＧ,防災情報を伝達するシステムのバージョンアップ開発をＪａｖａ言語で行います。,"300,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　エーティーティーソリューションズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005648002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05655602,企業内向け購買システム開発ＰＧ（ＰＨＰ等）,・ＰＨＰ、Ｌａｒａｖｅｌ・ＭｙＳＱＬの環境で購買システムの開発を行って頂きます。,"220,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　エーティーティーソリューションズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005655602&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05664002,ＲｕｂｙでのＷＥＢシステム開発ＰＧ,Ｒｕｂｙでメディアサイトの改修作業を行って頂きます。,"270,000円〜350,000円","										（1）09時00分〜18時00分
",株式会社　エーティーティーソリューションズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005664002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33724501,Ｗｉｎｄｏｗｓサーバー構築（東京オフィス）,ＷｉｎｄｏｗｓＳｅｒｖｅｒの設計・構築・運用業務サーバ設定の検証や導入手順の作成など〔使用言語・環境等〕,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033724501&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33731201,．ＮＥＴ技術者（ＰＧ／ＳＥ）／東京オフィス,＊ＶＢ．ｎｅｔまたはＣ＃．ｎｅｔでのシステム開発経験者　の募集です。　［使用言語・環境等］,"230,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033731201&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33734301,オープン・組み込み技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｃ言語またはＣ＋＋でのシステム開発経験者の募集です。　［使用言語・環境等］　　Ｃ言語またはＣ＋＋,"230,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033734301&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-33736901,Ｒｕｂｙ技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｒｕｂｙでのシステム開発経験者の募集です。　［使用言語・環境等］　　Ｒｕｂｙ、ＳＱＬ,"230,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703033736901&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04717202,ＳＥ・開発,販売促進部開発課に所属して、下記の仕事をお願いします。・物流向けパッケージシステムの開発・要件定義・同システムのメンテナンス、カスタマイズ、問い合わせ対応,"233,500円〜350,000円",変形労働時間制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004717202&kJKbn=1&jGSHNo=s86Ce6ynof0DP%2BOw2eK2rA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-39450401,ＮＷ設計構築（飯田橋）,ＮＷ設計構築案件をご担当頂きます。単独で案件を進めていけるような３名チームのリーダー候補のポジションになります。,"300,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　富士三和総研,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309039450401&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04204402,ＣＯＢＯＬプログラマー、ＳＥ／正社員／生保、ＩＢＭ汎用機,ＩＢＭ汎用機を使用した、ＣＯＢＯＬやＰＬ／Ｉによる業務アプリケーションの設計及び開発をして頂きます。開発案件は、生保の数理システム、請求収納システム等です。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社ＣＯＢＯＬ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004204402&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04342102,ＣＯＢＯＬプログラマー、ＳＥ／正社員／共済、富士通汎用機,富士通汎用機を使用した、ＣＯＢＯＬやＹＰＳ／ＣＯＢＯＬによる業務アプリケーションの設計及び開発をして頂きます。開発案件は、共済の建物更新共済システム、年金系システム等です。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社ＣＯＢＯＬ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004342102&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04413902,ＩＴプロダクトの提案営業（管理職）,１．当社のＩＴソリューションやサービスの提案、販売営業２．商品のデモやイベントでの販促活動実施３．販路拡大や顧客アプローチの戦略立案と実行,"400,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004413902&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04451202,社内技術部管理（マネージャー）,技術業務管理全般を担当して頂きます。・社内外システム対応業務・エンジニア教育、指導業務,"250,000円〜500,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004451202&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04454002,インフラエンジニア（ＳＥ）,内容：会計システムパッケージ言語：Ｊａｖａ／イントラマート,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004454002&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04461602,ＥＲＰ業務（ＳＥ）,内　容：ＥＲＰ導入に伴うデータ移行業務Ｏ　Ｓ：Ｗｉｎｄｏｗｓ系（その他）、Ｌｉｎｕｘ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004461602&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-51212401,システムエンジニア・プログラマ,アプリケーションソフトウェア開発,"250,000円〜500,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401051212401&kJKbn=1&jGSHNo=21Y7i%2FIlQ3K9gaU%2BLOY99g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
